Date,MedTemp
2007-11-01,16.15
2007-11-02,20.45
2007-11-03,18.549999999999997
2007-11-04,14.4
2007-11-05,11.850000000000001
2007-11-06,11.549999999999999
2007-11-07,12.149999999999999
2007-11-08,12.65
2007-11-09,14.15
2007-11-10,15.600000000000001
2007-11-11,17.15
2007-11-12,17.9
2007-11-13,19.0
2007-11-14,21.5
2007-11-15,20.65
2007-11-16,22.25
2007-11-17,22.5
2007-11-18,20.85
2007-11-19,22.349999999999998
2007-11-20,24.5
2007-11-21,24.35
2007-11-22,17.9
2007-11-23,15.65
2007-11-24,18.15
2007-11-25,21.9
2007-11-26,21.25
2007-11-27,17.75
2007-11-28,20.45
2007-11-29,19.7
2007-11-30,18.85
2007-12-01,17.75
2007-12-02,18.95
2007-12-03,20.4
2007-12-04,19.9
2007-12-05,18.15
2007-12-06,21.55
2007-12-07,21.5
2007-12-08,22.35
2007-12-09,22.2
2007-12-10,19.85
2007-12-11,15.15
2007-12-12,16.6
2007-12-13,14.95
2007-12-14,18.0
2007-12-15,20.0
2007-12-16,18.3
2007-12-17,16.25
2007-12-18,14.2
2007-12-19,16.9
2007-12-20,17.85
2007-12-21,22.15
2007-12-22,20.95
2007-12-23,14.799999999999999
2007-12-24,18.4
2007-12-25,16.5
2007-12-26,18.05
2007-12-27,20.5
2007-12-28,21.7
2007-12-29,23.0
2007-12-30,25.2
2007-12-31,23.65
2008-01-01,23.900000000000002
2008-01-02,24.65
2008-01-03,19.65
2008-01-04,21.0
2008-01-05,19.8
2008-01-06,24.200000000000003
2008-01-07,25.2
2008-01-08,23.4
2008-01-09,23.7
2008-01-10,24.450000000000003
2008-01-11,26.65
2008-01-12,28.3
2008-01-13,25.4
2008-01-14,19.4
2008-01-15,24.599999999999998
2008-01-16,25.55
2008-01-17,20.15
2008-01-18,17.75
2008-01-19,17.450000000000003
2008-01-20,20.95
2008-01-21,17.9
2008-01-22,16.25
2008-01-23,17.15
2008-01-24,19.05
2008-01-25,20.55
2008-01-26,20.75
2008-01-27,22.25
2008-01-28,24.25
2008-01-29,25.9
2008-01-30,26.45
2008-01-31,22.700000000000003
2008-02-01,19.9
2008-02-02,21.85
